"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name","minute"
"2019","Golden State Warriors","1/28/17",2016,1,1,34,"missed shot","Jump Shot","2PT Field Goal",19,"Los Angeles Clippers",112,164,"Stephen Curry",0
"2020","Golden State Warriors","1/28/17",2016,3,2,45,"made shot","Jump Shot","3PT Field Goal",27,"Los Angeles Clippers",-168,223,"Stephen Curry",34
"2021","Golden State Warriors","1/28/17",2016,2,2,38,"made shot","Jump Shot","3PT Field Goal",27,"Los Angeles Clippers",-212,174,"Stephen Curry",22
"2022","Golden State Warriors","1/28/17",2016,1,2,10,"missed shot","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",-37,252,"Stephen Curry",0
"2023","Golden State Warriors","1/28/17",2016,3,0,0,"missed shot","Jump Shot","3PT Field Goal",57,"Los Angeles Clippers",33,570,"Stephen Curry",0
"2024","Golden State Warriors","1/28/17",2016,2,0,1,"made shot","Jump Shot","3PT Field Goal",51,"Los Angeles Clippers",-102,503,"Stephen Curry",24
"2025","Golden State Warriors","1/28/17",2016,1,5,34,"missed shot","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",117,224,"Stephen Curry",0
"2026","Golden State Warriors","1/28/17",2016,3,5,41,"made shot","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",32,257,"Stephen Curry",31
"2027","Golden State Warriors","1/28/17",2016,3,6,58,"missed shot","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",-66,259,"Stephen Curry",0
"2028","Golden State Warriors","1/28/17",2016,3,11,20,"made shot","Jump Shot","2PT Field Goal",14,"Los Angeles Clippers",-19,141,"Stephen Curry",25
"2029","Golden State Warriors","1/28/17",2016,3,3,7,"made shot","Jump Shot","3PT Field Goal",30,"Los Angeles Clippers",168,252,"Stephen Curry",33
"2030","Golden State Warriors","1/28/17",2016,1,0,5,"missed shot","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",127,232,"Stephen Curry",0
"2031","Golden State Warriors","1/28/17",2016,3,0,24,"made shot","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",168,193,"Stephen Curry",36
"2032","Golden State Warriors","2/27/17",2016,3,9,1,"missed shot","Jump Shot","3PT Field Goal",26,"Philadelphia 76ers",166,210,"Stephen Curry",0
"2033","Golden State Warriors","2/27/17",2016,2,3,18,"missed shot","Jump Shot","2PT Field Goal",13,"Philadelphia 76ers",114,72,"Stephen Curry",0
"2034","Golden State Warriors","2/27/17",2016,1,2,52,"missed shot","Jump Shot","3PT Field Goal",27,"Philadelphia 76ers",-210,174,"Stephen Curry",0
"2035","Golden State Warriors","2/27/17",2016,1,2,8,"missed shot","Jump Shot","3PT Field Goal",23,"Philadelphia 76ers",236,-15,"Stephen Curry",0
"2036","Golden State Warriors","2/27/17",2016,2,5,51,"missed shot","Jump Shot","3PT Field Goal",26,"Philadelphia 76ers",30,264,"Stephen Curry",0
"2037","Golden State Warriors","2/27/17",2016,1,1,14,"missed shot","Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",-192,169,"Stephen Curry",0
"2038","Golden State Warriors","2/27/17",2016,3,1,51,"missed shot","Jump Shot","2PT Field Goal",22,"Philadelphia 76ers",169,151,"Stephen Curry",0
"2039","Golden State Warriors","2/27/17",2016,1,4,30,"missed shot","Jump Shot","3PT Field Goal",26,"Philadelphia 76ers",-135,229,"Stephen Curry",0
"2040","Golden State Warriors","2/27/17",2016,3,2,50,"missed shot","Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",151,195,"Stephen Curry",0
"2041","Golden State Warriors","3/16/17",2016,3,0,1,"missed shot","Jump Shot","3PT Field Goal",63,"Orlando Magic",0,639,"Stephen Curry",0
"2042","Golden State Warriors","3/16/17",2016,2,9,37,"missed shot","Jump Shot","3PT Field Goal",25,"Orlando Magic",-220,129,"Stephen Curry",0
"2043","Golden State Warriors","3/16/17",2016,2,1,55,"missed shot","Jump Shot","3PT Field Goal",26,"Orlando Magic",97,244,"Stephen Curry",0
"2044","Golden State Warriors","3/16/17",2016,3,11,3,"missed shot","Jump Shot","2PT Field Goal",21,"Orlando Magic",110,188,"Stephen Curry",0
"2045","Golden State Warriors","11/4/16",2016,1,9,0,"missed shot","Jump Shot","3PT Field Goal",23,"Los Angeles Lakers",-227,60,"Stephen Curry",0
"2046","Golden State Warriors","11/4/16",2016,4,7,16,"missed shot","Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",37,238,"Stephen Curry",0
"2047","Golden State Warriors","2/28/17",2016,3,1,3,"made shot","Jump Shot","3PT Field Goal",26,"Washington Wizards",-176,198,"Stephen Curry",35
"2048","Golden State Warriors","2/28/17",2016,3,4,30,"missed shot","Jump Shot","3PT Field Goal",22,"Washington Wizards",-225,18,"Stephen Curry",0
"2049","Golden State Warriors","2/10/17",2016,4,4,56,"missed shot","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",61,247,"Stephen Curry",0
"2050","Golden State Warriors","2/28/17",2016,3,7,8,"missed shot","Jump Shot","3PT Field Goal",29,"Washington Wizards",122,269,"Stephen Curry",0
"2051","Golden State Warriors","2/28/17",2016,1,7,29,"missed shot","Jump Shot","3PT Field Goal",25,"Washington Wizards",223,124,"Stephen Curry",0
"2052","Golden State Warriors","2/28/17",2016,1,10,22,"missed shot","Jump Shot","2PT Field Goal",21,"Washington Wizards",173,129,"Stephen Curry",0
"2053","Golden State Warriors","2/28/17",2016,4,0,6,"missed shot","Jump Shot","3PT Field Goal",31,"Washington Wizards",10,313,"Stephen Curry",0
"2054","Golden State Warriors","2/28/17",2016,2,2,7,"missed shot","Jump Shot","3PT Field Goal",28,"Washington Wizards",207,193,"Stephen Curry",0
"2055","Golden State Warriors","2/28/17",2016,3,0,2,"missed shot","Jump Shot","3PT Field Goal",28,"Washington Wizards",-155,239,"Stephen Curry",0
"2056","Golden State Warriors","2/28/17",2016,2,3,36,"missed shot","Jump Shot","3PT Field Goal",27,"Washington Wizards",232,139,"Stephen Curry",0
"2057","Golden State Warriors","2/28/17",2016,2,5,5,"missed shot","Jump Shot","2PT Field Goal",12,"Washington Wizards",58,115,"Stephen Curry",0
"2058","Golden State Warriors","2/28/17",2016,3,11,18,"made shot","Jump Shot","3PT Field Goal",25,"Washington Wizards",-215,134,"Stephen Curry",25
"2059","Golden State Warriors","3/29/17",2016,3,0,1,"missed shot","Jump Shot","3PT Field Goal",38,"San Antonio Spurs",30,385,"Stephen Curry",0
